flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,norm_pressure,norm_load,norm_ssr,norm_bags,difficulty_score,difficulty_category
4519,2025-08-13,ORD,SCE,0.006,0.556,0.000,0.097,0.30,Difficult
3598,2025-08-08,ORD,SDF,0.011,0.584,0.021,0.057,0.30,Difficult
1129,2025-08-07,ORD,BOS,0.013,0.506,0.085,0.066,0.30,Difficult
374,2025-08-10,ORD,MSP,0.013,0.521,0.043,0.129,0.30,Difficult
714,2025-08-08,ORD,MDT,0.013,0.505,0.043,0.137,0.30,Difficult
219,2025-08-04,ORD,HNL,0.015,0.687,0.319,0.449,0.30,Difficult
5610,2025-08-02,ORD,CHO,0.008,0.523,0.074,0.097,0.30,Difficult
2635,2025-08-01,ORD,CLT,0.010,0.607,0.032,0.049,0.30,Difficult
1989,2025-08-14,ORD,BOS,0.012,0.564,0.011,0.114,0.30,Difficult
2184,2025-08-01,ORD,EGE,0.011,0.616,0.000,0.080,0.30,Difficult
1785,2025-08-12,ORD,EWR,0.008,0.564,0.000,0.111,0.30,Difficult
2497,2025-08-03,ORD,DTW,0.012,0.581,0.000,0.126,0.30,Difficult
3716,2025-08-09,ORD,CMH,0.008,0.498,0.064,0.146,0.30,Difficult
739,2025-08-03,ORD,BZN,0.004,0.509,0.032,0.180,0.30,Difficult
2394,2025-08-07,ORD,DEN,0.012,0.563,0.032,0.077,0.30,Difficult
1983,2025-08-04,ORD,LAX,0.013,0.534,0.043,0.043,0.30,Difficult
374,2025-08-03,ORD,MSP,0.009,0.564,0.053,0.077,0.30,Difficult
987,2025-08-04,ORD,CDG,0.002,0.384,0.213,0.117,0.30,Difficult
3465,2025-08-10,ORD,GSP,0.013,0.570,0.032,0.014,0.30,Difficult
291,2025-08-04,ORD,BDL,0.001,0.520,0.021,0.143,0.30,Difficult
5915,2025-08-13,ORD,LNK,0.010,0.556,0.000,0.100,0.30,Difficult
2075,2025-08-10,ORD,TPA,0.011,0.552,0.000,0.106,0.30,Difficult
5352,2025-08-07,ORD,CAK,0.008,0.556,0.043,0.031,0.30,Difficult
1776,2025-08-12,ORD,PHL,0.055,0.322,0.074,0.163,0.30,Difficult
5250,2025-08-08,ORD,BNA,0.009,0.598,0.032,0.029,0.30,Difficult
3707,2025-08-13,ORD,IND,0.007,0.491,0.085,0.111,0.30,Difficult
4590,2025-08-15,ORD,MDT,0.009,0.578,0.000,0.063,0.30,Difficult
4491,2025-08-02,ORD,CAE,0.005,0.556,0.032,0.094,0.30,Difficult
4188,2025-08-12,ORD,GSO,0.004,0.425,0.170,0.074,0.30,Difficult
3663,2025-08-15,ORD,BGR,0.007,0.528,0.043,0.100,0.30,Difficult
3707,2025-08-04,ORD,IND,0.011,0.519,0.043,0.080,0.30,Difficult
5901,2025-08-08,ORD,FAR,0.012,0.462,0.128,0.111,0.30,Difficult
5526,2025-08-04,ORD,ATW,0.008,0.556,0.021,0.051,0.30,Difficult
5624,2025-08-08,ORD,LEX,0.008,0.591,0.000,0.083,0.30,Difficult
291,2025-08-03,ORD,BDL,0.013,0.512,0.021,0.129,0.30,Difficult
5964,2025-08-11,ORD,CID,0.009,0.519,0.074,0.117,0.30,Difficult
481,2025-08-15,ORD,RNO,0.008,0.473,0.096,0.100,0.30,Difficult
1583,2025-08-04,ORD,BWI,0.010,0.512,0.000,0.229,0.30,Difficult
2494,2025-08-14,ORD,MCI,0.012,0.534,0.000,0.157,0.30,Difficult
534,2025-08-11,ORD,EWR,0.013,0.567,0.021,0.069,0.30,Difficult
5847,2025-08-03,ORD,DSM,0.012,0.505,0.000,0.154,0.30,Difficult
5790,2025-08-12,ORD,CRW,0.001,0.469,0.128,0.060,0.30,Difficult
5526,2025-08-08,ORD,ATW,0.008,0.621,0.000,0.066,0.30,Difficult
5631,2025-08-02,ORD,DAY,0.005,0.556,0.011,0.137,0.30,Difficult
4712,2025-08-08,ORD,ELP,0.007,0.584,0.000,0.091,0.30,Difficult
4636,2025-08-08,ORD,SBN,0.011,0.490,0.106,0.054,0.30,Difficult
1655,2025-08-05,ORD,DCA,0.013,0.545,0.000,0.083,0.30,Difficult
1989,2025-08-08,ORD,BOS,0.013,0.527,0.000,0.131,0.30,Difficult
1905,2025-08-10,ORD,PIT,0.000,0.527,0.000,0.191,0.30,Difficult
4395,2025-08-08,ORD,TVC,0.006,0.599,0.000,0.060,0.30,Difficult
265,2025-08-05,ORD,YYZ,0.005,0.577,0.021,0.046,0.30,Difficult
4518,2025-08-09,ORD,STL,0.009,0.512,0.000,0.154,0.30,Difficult
4712,2025-08-03,ORD,ELP,0.010,0.536,0.053,0.060,0.30,Difficult
5251,2025-08-15,ORD,ASE,0.012,0.575,0.011,0.043,0.30,Difficult
2154,2025-08-10,ORD,ROC,0.010,0.464,0.011,0.200,0.30,Difficult
5790,2025-08-07,ORD,CRW,0.000,0.556,0.021,0.103,0.30,Difficult
6002,2025-08-08,ORD,AVL,0.008,0.442,0.128,0.086,0.30,Difficult
5652,2025-08-15,ORD,GEG,0.007,0.548,0.074,0.060,0.30,Difficult
4519,2025-08-02,ORD,SCE,0.005,0.578,0.032,0.077,0.30,Difficult
5915,2025-08-05,ORD,LNK,0.010,0.534,0.043,0.080,0.30,Difficult
5901,2025-08-15,ORD,FAR,0.006,0.505,0.043,0.106,0.30,Difficult
3402,2025-08-10,ORD,YOW,0.008,0.519,0.064,0.091,0.30,Difficult
3542,2025-08-03,ORD,YUL,0.011,0.476,0.106,0.037,0.30,Difficult
2865,2025-08-03,ORD,LGA,0.010,0.558,0.043,0.011,0.30,Difficult
481,2025-08-14,ORD,RNO,0.012,0.508,0.096,0.066,0.30,Difficult
2394,2025-08-03,ORD,DEN,0.012,0.568,0.011,0.094,0.30,Difficult
4546,2025-08-13,ORD,AVP,0.005,0.512,0.043,0.109,0.30,Difficult
4546,2025-08-03,ORD,AVP,0.005,0.490,0.096,0.063,0.30,Difficult
2323,2025-08-09,ORD,MCO,0.010,1.000,0.234,0.086,0.30,Difficult
714,2025-08-13,ORD,MDT,0.012,0.482,0.074,0.149,0.30,Difficult
5565,2025-08-13,ORD,CHO,0.023,0.578,0.000,0.051,0.30,Difficult
5135,2025-08-04,ORD,MCW,0.011,0.501,0.096,0.063,0.30,Difficult
3551,2025-08-03,ORD,SDF,0.013,0.555,0.043,0.094,0.30,Difficult
2243,2025-08-14,ORD,RIC,0.010,0.483,0.096,0.131,0.30,Difficult
1030,2025-08-03,ORD,ABQ,0.013,0.421,0.096,0.143,0.30,Difficult
2865,2025-08-13,ORD,LGA,0.010,0.522,0.021,0.103,0.30,Difficult
5499,2025-08-02,ORD,SBN,0.008,0.523,0.064,0.054,0.30,Difficult
4463,2025-08-01,ORD,ABE,0.047,0.534,0.000,0.046,0.30,Difficult
5833,2025-08-03,ORD,DTW,0.009,0.498,0.053,0.134,0.30,Difficult
1974,2025-08-03,ORD,PWM,0.007,0.534,0.043,0.120,0.30,Difficult
3715,2025-08-02,ORD,ELP,0.003,0.551,0.011,0.120,0.30,Difficult
2179,2025-08-14,ORD,SFO,0.014,0.540,0.053,0.103,0.30,Difficult
4463,2025-08-02,ORD,ABE,0.002,0.480,0.106,0.083,0.30,Difficult
4599,2025-08-05,ORD,BHM,0.009,0.556,0.000,0.083,0.30,Difficult
4599,2025-08-04,ORD,BHM,0.007,0.610,0.021,0.063,0.30,Difficult
5699,2025-08-01,ORD,SAV,0.014,0.527,0.000,0.191,0.30,Difficult
265,2025-08-07,ORD,YYZ,0.017,0.551,0.021,0.046,0.30,Difficult
3433,2025-08-04,ORD,CVG,0.011,0.541,0.032,0.080,0.30,Difficult
793,2025-08-10,ORD,DFW,0.008,0.521,0.064,0.080,0.30,Difficult
3628,2025-08-06,ORD,IND,0.003,0.484,0.096,0.074,0.30,Difficult
5352,2025-08-12,ORD,CAK,0.008,0.545,0.053,0.066,0.30,Difficult
4590,2025-08-10,ORD,MDT,0.009,0.610,0.000,0.057,0.30,Difficult
777,2025-08-15,ORD,LAS,0.011,0.476,0.117,0.089,0.30,Difficult
4712,2025-08-11,ORD,ELP,0.003,0.559,0.021,0.080,0.30,Difficult
5352,2025-08-03,ORD,CAK,0.008,0.534,0.053,0.049,0.30,Difficult
3715,2025-08-09,ORD,ELP,0.010,0.555,0.000,0.089,0.30,Difficult
3716,2025-08-07,ORD,CMH,0.012,0.562,0.000,0.100,0.30,Difficult
881,2025-08-06,ORD,HND,0.004,0.571,0.309,0.626,0.30,Difficult
5699,2025-08-07,ORD,SAV,0.014,0.570,0.011,0.074,0.30,Difficult
3635,2025-08-15,ORD,MSN,0.012,0.491,0.043,0.129,0.30,Difficult
4590,2025-08-05,ORD,MDT,0.009,0.578,0.032,0.043,0.30,Difficult
5517,2025-08-05,ORD,PVD,0.003,0.541,0.043,0.106,0.30,Difficult
5526,2025-08-09,ORD,ATW,0.008,0.425,0.191,0.080,0.30,Difficult
664,2025-08-01,ORD,LGA,0.013,0.584,0.021,0.063,0.30,Difficult
1030,2025-08-08,ORD,ABQ,0.012,0.465,0.085,0.140,0.30,Difficult
1146,2025-08-09,ORD,MBJ,0.001,0.713,0.532,0.129,0.30,Difficult
4395,2025-08-13,ORD,TVC,0.007,0.534,0.043,0.074,0.30,Difficult
2211,2025-08-04,ORD,SEA,0.008,0.552,0.000,0.106,0.30,Difficult
1129,2025-08-04,ORD,BOS,0.010,0.522,0.064,0.031,0.30,Difficult
5637,2025-08-03,ORD,GRB,0.008,0.534,0.032,0.097,0.30,Difficult
2147,2025-08-08,ORD,ALB,0.009,0.508,0.021,0.163,0.30,Difficult
481,2025-08-11,ORD,RNO,0.012,0.530,0.043,0.091,0.30,Difficult
1983,2025-08-12,ORD,LAX,0.013,0.448,0.128,0.083,0.30,Difficult
5314,2025-08-07,ORD,LNK,0.007,0.545,0.074,0.043,0.30,Difficult
1403,2025-08-02,ORD,SLC,0.009,0.525,0.043,0.154,0.30,Difficult
5637,2025-08-11,ORD,GRB,0.008,0.556,0.064,0.057,0.30,Difficult
1776,2025-08-04,ORD,PHL,0.011,0.552,0.000,0.151,0.30,Difficult
534,2025-08-07,ORD,EWR,0.013,0.471,0.096,0.054,0.30,Difficult
881,2025-08-01,ORD,HND,0.002,0.643,0.213,0.749,0.30,Difficult
2147,2025-08-13,ORD,ALB,0.003,0.517,0.000,0.220,0.30,Difficult
5565,2025-08-13,ORD,CHO,0.011,0.578,0.000,0.051,0.30,Difficult
5610,2025-08-01,ORD,CHO,0.006,0.545,0.074,0.094,0.30,Difficult
4792,2025-08-04,ORD,ROA,0.013,0.433,0.149,0.057,0.30,Difficult
920,2025-08-03,ORD,LHR,0.010,0.525,0.064,0.106,0.30,Difficult
1776,2025-08-10,ORD,PHL,0.011,0.558,0.011,0.109,0.30,Difficult
1398,2025-08-05,ORD,ATL,0.011,0.414,0.106,0.146,0.30,Difficult
2006,2025-08-09,ORD,GUA,0.012,0.584,0.606,0.169,0.30,Difficult
4395,2025-08-14,ORD,TVC,0.004,0.523,0.085,0.089,0.30,Difficult
5517,2025-08-04,ORD,PVD,0.006,0.527,0.085,0.089,0.30,Difficult
5251,2025-08-03,ORD,ASE,0.008,0.536,0.053,0.043,0.30,Difficult
3542,2025-08-15,ORD,YUL,0.013,0.562,0.021,0.091,0.30,Difficult
3525,2025-08-13,ORD,YYZ,0.012,0.613,0.011,0.063,0.30,Difficult
4590,2025-08-01,ORD,MDT,0.011,0.567,0.021,0.054,0.30,Difficult
3716,2025-08-13,ORD,CMH,0.012,0.570,0.000,0.094,0.30,Difficult
1989,2025-08-12,ORD,BOS,0.013,0.491,0.000,0.166,0.30,Difficult
5915,2025-08-10,ORD,LNK,0.011,0.578,0.021,0.043,0.30,Difficult
5250,2025-08-15,ORD,BNA,0.008,0.498,0.064,0.077,0.30,Difficult
944,2025-08-08,ORD,FRA,0.013,0.622,0.362,0.511,0.30,Difficult
4491,2025-08-01,ORD,CAE,0.006,0.480,0.106,0.066,0.30,Difficult
5868,2025-08-06,ORD,YWG,0.010,0.476,0.064,0.109,0.30,Difficult
1859,2025-08-03,ORD,SNA,0.004,0.603,0.021,0.057,0.30,Difficult
4416,2025-08-14,ORD,STL,0.001,0.599,0.021,0.080,0.30,Difficult
2155,2025-08-03,ORD,LAX,0.001,0.559,0.032,0.077,0.30,Difficult
3551,2025-08-01,ORD,SDF,0.013,0.469,0.053,0.114,0.30,Difficult
944,2025-08-06,ORD,FRA,0.010,0.562,0.362,0.563,0.30,Difficult
1129,2025-08-02,ORD,BOS,0.015,0.562,0.000,0.063,0.30,Difficult
5517,2025-08-01,ORD,PVD,0.007,0.598,0.000,0.060,0.30,Difficult
5555,2025-08-02,ORD,MKE,0.007,0.545,0.074,0.091,0.30,Difficult
5131,2025-08-01,ORD,CMX,0.021,0.534,0.043,0.069,0.30,Difficult
1983,2025-08-03,ORD,LAX,0.007,0.573,0.032,0.063,0.30,Difficult
617,2025-08-12,ORD,CLT,0.010,0.433,0.138,0.137,0.30,Difficult
793,2025-08-06,ORD,DFW,0.008,0.495,0.053,0.117,0.30,Difficult
2005,2025-08-02,ORD,TYS,0.013,0.521,0.032,0.160,0.30,Difficult
2417,2025-08-11,ORD,SAN,0.012,0.552,0.021,0.123,0.30,Difficult
5868,2025-08-09,ORD,YWG,0.009,0.584,0.011,0.109,0.30,Difficult
1324,2025-08-14,ORD,SFO,0.012,0.499,0.043,0.149,0.30,Difficult
2148,2025-08-14,ORD,SAT,0.012,0.483,0.053,0.106,0.30,Difficult
4416,2025-08-02,ORD,STL,0.007,0.534,0.043,0.111,0.30,Difficult
265,2025-08-01,ORD,YYZ,0.012,0.504,0.074,0.066,0.30,Difficult
374,2025-08-11,ORD,MSP,0.009,0.508,0.043,0.137,0.30,Difficult
4636,2025-08-03,ORD,SBN,0.008,0.610,0.021,0.034,0.30,Difficult
4518,2025-08-03,ORD,STL,0.004,0.578,0.000,0.109,0.30,Difficult
2147,2025-08-11,ORD,ALB,0.009,0.403,0.117,0.234,0.30,Difficult
5108,2025-08-05,ORD,SLN,0.017,0.523,0.064,0.054,0.30,Difficult
4518,2025-08-04,ORD,STL,0.011,0.578,0.000,0.103,0.30,Difficult
1403,2025-08-10,ORD,SLC,0.011,0.505,0.032,0.100,0.30,Difficult
4416,2025-08-11,ORD,STL,0.008,0.512,0.021,0.137,0.30,Difficult
5526,2025-08-03,ORD,ATW,0.008,0.567,0.000,0.071,0.30,Difficult
1124,2025-08-14,ORD,IAH,0.012,0.527,0.000,0.163,0.30,Difficult
219,2025-08-05,ORD,HNL,0.007,0.687,0.330,0.414,0.30,Difficult
1580,2025-08-04,ORD,YVR,0.012,0.568,0.032,0.051,0.30,Difficult
1761,2025-08-10,ORD,FAT,0.004,0.534,0.032,0.094,0.30,Difficult
1129,2025-08-15,ORD,BOS,0.013,0.537,0.000,0.100,0.30,Difficult
4416,2025-08-08,ORD,STL,0.008,0.578,0.011,0.057,0.30,Difficult
534,2025-08-01,ORD,EWR,0.013,0.537,0.021,0.077,0.30,Difficult
5253,2025-08-01,ORD,FCA,0.010,0.591,0.043,0.051,0.30,Difficult
3433,2025-08-07,ORD,CVG,0.014,0.555,0.021,0.106,0.30,Difficult
4766,2025-08-09,ORD,OKC,0.011,0.501,0.000,0.160,0.30,Difficult
2211,2025-08-10,ORD,SEA,0.008,0.529,0.064,0.117,0.30,Difficult
4792,2025-08-06,ORD,ROA,0.008,0.519,0.064,0.097,0.30,Difficult
6002,2025-08-13,ORD,AVL,0.003,0.466,0.074,0.169,0.30,Difficult
2202,2025-08-15,ORD,IAH,0.012,0.461,0.096,0.086,0.30,Difficult
5868,2025-08-07,ORD,YWG,0.008,0.462,0.085,0.126,0.30,Difficult
2424,2025-08-06,ORD,RDU,0.011,0.464,0.064,0.140,0.30,Difficult
793,2025-08-14,ORD,DFW,0.011,0.534,0.043,0.103,0.30,Difficult
664,2025-08-10,ORD,LGA,0.013,0.539,0.074,0.031,0.30,Difficult
2039,2025-08-04,ORD,MCO,0.014,0.572,0.043,0.066,0.30,Difficult
3604,2025-08-10,ORD,CMH,0.009,0.598,0.043,0.049,0.30,Difficult
2652,2025-08-11,ORD,RSW,0.010,0.394,0.181,0.143,0.30,Difficult
1182,2025-08-13,ORD,SJC,0.012,0.461,0.053,0.146,0.30,Difficult
5624,2025-08-10,ORD,LEX,0.008,0.519,0.074,0.066,0.30,Difficult
1144,2025-08-04,ORD,ONT,0.018,0.532,0.043,0.089,0.30,Difficult
5833,2025-08-15,ORD,DTW,0.009,0.570,0.000,0.154,0.30,Difficult
3598,2025-08-02,ORD,SDF,0.008,0.505,0.043,0.151,0.30,Difficult
534,2025-08-10,ORD,EWR,0.003,0.471,0.160,0.089,0.30,Difficult
3604,2025-08-12,ORD,CMH,0.004,0.534,0.064,0.054,0.30,Difficult
1182,2025-08-03,ORD,SJC,0.012,0.512,0.064,0.051,0.30,Difficult
5790,2025-08-08,ORD,CRW,0.000,0.534,0.000,0.157,0.30,Difficult
2426,2025-08-15,ORD,IAH,0.013,0.445,0.096,0.143,0.30,Difficult
2497,2025-08-13,ORD,DTW,0.003,0.525,0.043,0.094,0.30,Difficult
219,2025-08-07,ORD,HNL,0.015,0.692,0.330,0.429,0.30,Difficult
3542,2025-08-01,ORD,YUL,0.013,0.577,0.021,0.074,0.30,Difficult
2075,2025-08-12,ORD,TPA,0.011,0.479,0.074,0.163,0.30,Difficult
4638,2025-08-04,ORD,COS,0.008,0.570,0.000,0.063,0.30,Difficult
1967,2025-08-13,ORD,LAX,0.014,0.452,0.074,0.174,0.30,Difficult
2424,2025-08-08,ORD,RDU,0.011,0.503,0.021,0.157,0.30,Difficult
5045,2025-08-09,ORD,RHI,0.011,0.512,0.053,0.111,0.30,Difficult
5290,2025-08-01,ORD,BOI,0.010,0.590,0.000,0.077,0.30,Difficult
920,2025-08-01,ORD,LHR,0.001,0.587,0.021,0.066,0.30,Difficult
1905,2025-08-15,ORD,PIT,0.011,0.465,0.064,0.123,0.30,Difficult
5290,2025-08-10,ORD,BOI,0.007,0.504,0.096,0.043,0.30,Difficult
5699,2025-08-11,ORD,SAV,0.006,0.534,0.085,0.089,0.30,Difficult
920,2025-08-07,ORD,LHR,0.007,0.522,0.064,0.069,0.30,Difficult
5637,2025-08-08,ORD,GRB,0.008,0.534,0.085,0.051,0.30,Difficult
1785,2025-08-10,ORD,EWR,0.008,0.579,0.053,0.031,0.30,Difficult
2155,2025-08-13,ORD,LAX,0.013,0.479,0.128,0.063,0.30,Difficult
1655,2025-08-13,ORD,DCA,0.013,0.589,0.000,0.069,0.30,Difficult
3402,2025-08-03,ORD,YOW,0.010,0.570,0.000,0.114,0.30,Difficult
312,2025-08-10,ORD,CHS,0.011,0.461,0.064,0.134,0.30,Difficult
6002,2025-08-01,ORD,AVL,0.008,0.543,0.011,0.097,0.30,Difficult
4590,2025-08-08,ORD,MDT,0.009,0.501,0.117,0.046,0.30,Difficult
5847,2025-08-14,ORD,DSM,0.012,0.505,0.064,0.089,0.30,Difficult
2394,2025-08-05,ORD,DEN,0.011,0.512,0.043,0.083,0.30,Difficult
4518,2025-08-10,ORD,STL,0.004,0.567,0.000,0.097,0.30,Difficult
5624,2025-08-02,ORD,LEX,0.008,0.519,0.053,0.097,0.30,Difficult
1124,2025-08-15,ORD,IAH,0.004,0.527,0.021,0.200,0.30,Difficult
2202,2025-08-07,ORD,IAH,0.012,0.552,0.032,0.080,0.30,Difficult
1030,2025-08-01,ORD,ABQ,0.014,0.483,0.064,0.154,0.30,Difficult
1655,2025-08-15,ORD,DCA,0.011,0.545,0.000,0.106,0.30,Difficult
5108,2025-08-14,ORD,SLN,0.005,0.480,0.053,0.043,0.29,Difficult
2677,2025-08-06,ORD,IAD,0.008,0.463,0.043,0.089,0.29,Difficult
2427,2025-08-05,ORD,CVG,0.008,0.430,0.074,0.123,0.29,Difficult
3628,2025-08-04,ORD,IND,0.009,0.512,0.000,0.063,0.29,Difficult
3433,2025-08-10,ORD,CVG,0.005,0.462,0.011,0.143,0.29,Difficult
3433,2025-08-06,ORD,CVG,0.002,0.528,0.000,0.109,0.29,Difficult
1905,2025-08-04,ORD,PIT,0.009,0.495,0.021,0.103,0.29,Difficult
5253,2025-08-15,ORD,FCA,0.012,0.548,0.000,0.069,0.29,Difficult
5555,2025-08-08,ORD,MKE,0.007,0.523,0.000,0.097,0.29,Difficult
1215,2025-08-09,ORD,ANC,0.008,0.516,0.447,0.423,0.29,Difficult
4766,2025-08-13,ORD,OKC,0.011,0.501,0.011,0.097,0.29,Difficult
2394,2025-08-15,ORD,DEN,0.011,0.503,0.000,0.120,0.29,Difficult
1655,2025-08-04,ORD,DCA,0.014,0.534,0.021,0.060,0.29,Difficult
1291,2025-08-07,ORD,IAH,0.059,0.635,0.319,0.271,0.29,Difficult
1742,2025-08-12,ORD,JAX,0.009,0.384,0.064,0.189,0.29,Difficult
5320,2025-08-04,ORD,MKE,0.009,0.523,0.000,0.049,0.29,Difficult
1006,2025-08-11,ORD,LGA,0.015,0.470,0.053,0.020,0.29,Difficult
1069,2025-08-03,ORD,DCA,0.011,0.556,0.000,0.049,0.29,Difficult
3433,2025-08-13,ORD,CVG,0.007,0.555,0.000,0.080,0.29,Difficult
5474,2025-08-07,ORD,MBS,0.004,0.447,0.117,0.086,0.29,Difficult
5538,2025-08-04,ORD,HSV,0.006,0.512,0.021,0.037,0.29,Difficult
2347,2025-08-12,ORD,CLE,0.206,0.529,0.074,0.131,0.29,Difficult
5538,2025-08-03,ORD,HSV,0.006,0.512,0.011,0.054,0.29,Difficult
617,2025-08-05,ORD,CLT,0.010,0.404,0.064,0.149,0.29,Difficult
1006,2025-08-03,ORD,LGA,0.013,0.539,0.000,0.037,0.29,Difficult
5352,2025-08-14,ORD,CAK,0.006,0.501,0.000,0.120,0.29,Difficult
5652,2025-08-14,ORD,GEG,0.009,0.498,0.043,0.077,0.29,Difficult
1655,2025-08-10,ORD,DCA,0.001,0.549,0.000,0.083,0.29,Difficult
1708,2025-08-07,ORD,CLE,0.009,0.499,0.000,0.091,0.29,Difficult
1006,2025-08-14,ORD,LGA,0.013,0.519,0.000,0.080,0.29,Difficult
2179,2025-08-06,ORD,SFO,0.014,0.512,0.000,0.123,0.29,Difficult
4491,2025-08-10,ORD,CAE,0.006,0.556,0.000,0.046,0.29,Difficult
5251,2025-08-07,ORD,ASE,0.008,0.567,0.000,0.046,0.29,Difficult
1006,2025-08-06,ORD,LGA,0.011,0.456,0.074,0.037,0.29,Difficult
1655,2025-08-06,ORD,DCA,0.013,0.443,0.053,0.083,0.29,Difficult
5250,2025-08-05,ORD,BNA,0.009,0.548,0.000,0.083,0.29,Difficult
3402,2025-08-07,ORD,YOW,0.010,0.519,0.000,0.114,0.29,Difficult
4712,2025-08-10,ORD,ELP,0.010,0.489,0.053,0.074,0.29,Difficult
5868,2025-08-14,ORD,YWG,0.011,0.469,0.021,0.149,0.29,Difficult
2497,2025-08-04,ORD,DTW,0.012,0.465,0.053,0.097,0.29,Difficult
2147,2025-08-04,ORD,ALB,0.004,0.434,0.053,0.163,0.29,Difficult
4599,2025-08-08,ORD,BHM,0.009,0.501,0.011,0.066,0.29,Difficult
5225,2025-08-05,ORD,MKE,0.005,0.480,0.085,0.077,0.29,Difficult
1495,2025-08-14,ORD,TVC,0.013,0.494,0.053,0.074,0.29,Difficult
1811,2025-08-02,ORD,MSP,0.012,0.653,0.340,0.400,0.29,Difficult
5474,2025-08-09,ORD,MBS,0.005,0.490,0.011,0.097,0.29,Difficult
5901,2025-08-04,ORD,FAR,0.003,0.433,0.106,0.074,0.29,Difficult
534,2025-08-14,ORD,EWR,0.013,0.523,0.043,0.046,0.29,Difficult
1655,2025-08-03,ORD,DCA,0.001,0.534,0.043,0.023,0.29,Difficult
5610,2025-08-07,ORD,CHO,0.006,0.501,0.032,0.089,0.29,Difficult
1708,2025-08-08,ORD,CLE,0.012,0.397,0.106,0.083,0.29,Difficult
3663,2025-08-11,ORD,BGR,0.007,0.441,0.085,0.091,0.29,Difficult
1069,2025-08-11,ORD,DCA,0.011,0.512,0.011,0.046,0.29,Difficult
1708,2025-08-01,ORD,CLE,0.009,0.478,0.021,0.083,0.29,Difficult
664,2025-08-03,ORD,LGA,0.013,0.545,0.000,0.023,0.29,Difficult
2155,2025-08-14,ORD,LAX,0.014,0.480,0.011,0.140,0.29,Difficult
5915,2025-08-08,ORD,LNK,0.010,0.490,0.043,0.057,0.29,Difficult
5915,2025-08-04,ORD,LNK,0.010,0.523,0.000,0.103,0.29,Difficult
5555,2025-08-01,ORD,MKE,0.004,0.458,0.096,0.083,0.29,Difficult
5526,2025-08-01,ORD,ATW,0.007,0.545,0.000,0.066,0.29,Difficult
3542,2025-08-10,ORD,YUL,0.014,0.512,0.011,0.057,0.29,Difficult
664,2025-08-04,ORD,LGA,0.010,0.539,0.011,0.023,0.29,Difficult
534,2025-08-13,ORD,EWR,0.013,0.499,0.021,0.029,0.29,Difficult
2075,2025-08-06,ORD,TPA,0.011,0.473,0.032,0.071,0.29,Difficult
1495,2025-08-07,ORD,TVC,0.013,0.432,0.074,0.111,0.29,Difficult
3402,2025-08-08,ORD,YOW,0.010,0.519,0.000,0.109,0.29,Difficult
5045,2025-08-14,ORD,RHI,0.011,0.534,0.000,0.080,0.29,Difficult
5847,2025-08-08,ORD,DSM,0.012,0.491,0.043,0.089,0.29,Difficult
4638,2025-08-14,ORD,COS,0.008,0.484,0.021,0.089,0.29,Difficult
2865,2025-08-10,ORD,LGA,0.010,0.545,0.000,0.020,0.29,Difficult
4766,2025-08-14,ORD,OKC,0.011,0.469,0.032,0.091,0.29,Difficult
4519,2025-08-04,ORD,SCE,0.006,0.403,0.138,0.057,0.29,Difficult
5652,2025-08-11,ORD,GEG,0.011,0.534,0.000,0.091,0.29,Difficult
5320,2025-08-03,ORD,MKE,0.009,0.512,0.000,0.049,0.29,Difficult
2323,2025-08-15,ORD,MCO,0.012,0.629,0.298,0.494,0.29,Difficult
5833,2025-08-05,ORD,DTW,0.006,0.512,0.000,0.091,0.29,Difficult
1398,2025-08-09,ORD,ATL,0.055,0.197,0.138,0.183,0.29,Difficult
4491,2025-08-03,ORD,CAE,0.005,0.599,0.000,0.017,0.29,Difficult
5352,2025-08-04,ORD,CAK,0.008,0.534,0.000,0.031,0.29,Difficult
4518,2025-08-13,ORD,STL,0.002,0.512,0.021,0.094,0.29,Difficult
5474,2025-08-14,ORD,MBS,0.004,0.490,0.064,0.080,0.29,Difficult
4395,2025-08-05,ORD,TVC,0.006,0.556,0.011,0.074,0.29,Difficult
1708,2025-08-11,ORD,CLE,0.002,0.473,0.032,0.137,0.29,Difficult
845,2025-08-03,ORD,GRU,0.012,0.601,0.202,0.649,0.29,Difficult
1398,2025-08-04,ORD,ATL,0.010,0.496,0.021,0.094,0.29,Difficult
5526,2025-08-06,ORD,ATW,0.008,0.501,0.043,0.049,0.29,Difficult
1983,2025-08-15,ORD,LAX,0.008,0.394,0.096,0.100,0.29,Difficult
3598,2025-08-01,ORD,SDF,0.009,0.462,0.000,0.123,0.29,Difficult
2497,2025-08-14,ORD,DTW,0.009,0.483,0.064,0.086,0.29,Difficult
4792,2025-08-11,ORD,ROA,0.013,0.519,0.000,0.111,0.29,Difficult
1974,2025-08-15,ORD,PWM,0.007,0.504,0.000,0.146,0.29,Difficult
714,2025-08-09,ORD,MDT,0.012,0.342,0.106,0.180,0.29,Difficult
5610,2025-08-14,ORD,CHO,0.006,0.490,0.000,0.100,0.29,Difficult
5290,2025-08-07,ORD,BOI,0.011,0.512,0.053,0.057,0.29,Difficult
219,2025-08-08,ORD,HNL,0.007,0.644,0.277,0.520,0.29,Difficult
592,2025-08-12,ORD,JAC,0.012,0.439,0.064,0.143,0.29,Difficult
